activity_a,activity_b,capacity_a,capacity_b,count,weighted
Assistive Technology Club,Math Teams (V & JV),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,8,0.0597014925373134
Lab 16 - AP Comp Sci,Debate: Practice,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Practice>>,8,0.114285714285714
Assistive Technology Club,Environmental Resource Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Resource Club>>,8,0.173913043478261
Lab 207: Robotics (DelaCuesta),Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,8,0.0909090909090909
Lab 207: Robotics (DelaCuesta),Open Music Practice-Strings Only,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,8,0.166666666666667
Lab 9: Energy Systems Open Lab,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 9: Energy Systems Open Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.137931034482759
American Sign Language Club,Band Open Practice,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,<bound method EighthActivity.capacity of <EighthActivity: Band Open Practice>>,8,0.0666666666666667
Assistive Technology Club,Teknos,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,8,0.210526315789474
Assistive Technology Club,Debate: Policy - Novice,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,8,0.173913043478261
Lab 207: Robotics (DelaCuesta),Sports Statistics,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,8,0.142857142857143
Assistive Technology Club,Coding Lady Colonials,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Coding Lady Colonials>>,8,0.166666666666667
UAV Club (Unmanned Aerial Vehicle),Science Fiction & Fantasy Writers,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,8,0.142857142857143
Assistive Technology Club,Environmental Science Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,8,0.173913043478261
TJ Minds Matter,SGA,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,8,0.123076923076923
Lab 207: Robotics (DelaCuesta),Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.142857142857143
Lab 207: Robotics (DelaCuesta),TWIST,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,8,0.133333333333333
Lab 207: Robotics (DelaCuesta),RAD (Recording Audio for the Disabled),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: RAD (Recording Audio for the Disabled)>>,8,0.142857142857143
Aerospace Initiative (formerly Rocketry Club),Math Help (Schmitt),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Math Help (Schmitt)>>,8,0.123076923076923
Lab 207: Robotics (DelaCuesta),Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.126984126984127
Lab 207: Robotics (DelaCuesta),Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,8,0.102564102564103
Lab 207: Robotics (DelaCuesta),Namaste,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,8,0.0816326530612245
Assistive Technology Club,Cancer Research Society,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Cancer Research Society>>,8,0.166666666666667
Lab 8: Prototyping Lab,Otaku Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Otaku Club>>,8,0.150943396226415
Lab 211 - Open Computer Lab,Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.142857142857143
Lab 8: Prototyping Lab,MIT Launch,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,8,0.131147540983607
Lab 8: Prototyping Lab,Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.133333333333333
SGA,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: SGA>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.150943396226415
Lab 211 - Open Computer Lab,Swing Dance Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Swing Dance Club>>,8,0.142857142857143
Latin: Certamen,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.142857142857143
Send-a-Smile,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.142857142857143
Lab 8: Prototyping Lab,Latin Tutoring/Makeup (Lister),<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Tutoring/Makeup (Lister)>>,8,0.150943396226415
Assistive Technology Club,Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,8,0.0963855421686747
Lab 8: Prototyping Lab,Latin: Certamen,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,8,0.150943396226415
Science Fiction & Fantasy Writers,TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,8,0.126984126984127
TWIST,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.133333333333333
Lab 211 - Open Computer Lab,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,8,0.285714285714286
Lab 8: Prototyping Lab,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,8,0.163265306122449
Latin Convention Meeting,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.0952380952380952
Assistive Technology Club,BSU/BEYA-(Black Student Union),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: BSU/BEYA-(Black Student Union)>>,8,0.173913043478261
Lab 207: Robotics (DelaCuesta),Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.117647058823529
PC (re)Builders,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.137931034482759
Assistive Technology Club,IBET Project Work (James),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,8,0.173913043478261
Ocean Bowl,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Ocean Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.173913043478261
TJ Media (R),Research Statistics I (Scott) tutoring,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics I (Scott) tutoring>>,8,0.133333333333333
Assistive Technology Club,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,8,0.173913043478261
Send-a-Smile,SGA,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,8,0.150943396226415
Lab 211 - Open Computer Lab,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,8,0.126984126984127
Assistive Technology Club,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,8,0.137931034482759
Lab 211 - Open Computer Lab,Latin:,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,8,0.142857142857143
Assistive Technology Club,Latin: Certamen  (Lister),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,8,0.16
Open Music Practice-Strings Only,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.166666666666667
Spanish Honor Society,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.142857142857143
Lab 211 - Open Computer Lab,Physics Lab work only (Forbes),<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab work only (Forbes)>>,8,0.142857142857143
Send-a-Smile,UAV Club (Unmanned Aerial Vehicle),<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,8,0.142857142857143
WISE (Women in Sci. & Eng),Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.0707964601769911
Research Statistics 1 (Carey),Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics 1 (Carey)>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.137931034482759
Lab 211 - Open Computer Lab,Science Fiction & Fantasy Writers,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,8,0.142857142857143
Lab 8: Prototyping Lab,Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,8,0.150943396226415
Assistive Technology Club,WISE (Women in Sci. & Eng),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,8,0.0833333333333333
Math 4 tutoring,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Math 4 tutoring>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.142857142857143
Lab 211 - Open Computer Lab,Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.126984126984127
Lab 8: Prototyping Lab,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.150943396226415
Lab 211 - Open Computer Lab,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.142857142857143
Debate: Policy - Varsity,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Varsity>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.173913043478261
Physics  Retakes,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Physics  Retakes>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.285714285714286
